State,Metro,City,Zipcode
CA,"Oxnard-Thousand Oaks-Ventura, CA",Simi Valley,93065
CA,"Vallejo, CA",Vacaville,95687
NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,11201
CA,"Riverside-San Bernardino-Ontario, CA",Corona,92882
NJ,"New York-Newark-Jersey City, NY-NJ-PA",Jersey City,7305
PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia,19124
CA,"Napa, CA",Napa,94558
CA,"San Francisco-Oakland-Berkeley, CA",Fremont,94538
TN,"Nashville-Davidson--Murfreesboro--Franklin, TN",Hendersonville,37075
CA,"Los Angeles-Long Beach-Anaheim, CA",Pomona,91766
CA,"Los Angeles-Long Beach-Anaheim, CA",Anaheim,92805
TX,"San Antonio-New Braunfels, TX",San Antonio,78254
IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,60641
TX,"Laredo, TX",Laredo,78046
FL,"Miami-Fort Lauderdale-Pompano Beach, FL",Hialeah,33012
FL,"Miami-Fort Lauderdale-Pompano Beach, FL",Country Club,33015
CA,"Los Angeles-Long Beach-Anaheim, CA",La Habra,90631
CO,"Denver-Aurora-Lakewood, CO",Parker,80134
FL,"Miami-Fort Lauderdale-Pompano Beach, FL",The Crossings,33186
GA,"Atlanta-Sandy Springs-Alpharetta, GA",Stockbridge,30281
NC,"Charlotte-Concord-Gastonia, NC-SC",Huntersville,28078
IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,60640
FL,"Jacksonville, FL",Jacksonville,32218
AZ,"Phoenix-Mesa-Chandler, AZ",Phoenix,85032
FL,"Tampa-St. Petersburg-Clearwater, FL",Tampa,33647
NY,"New York-Newark-Jersey City, NY-NJ-PA",Spring Valley,10977
PA,"Lancaster, PA",Lancaster,17603
NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,11210
MA,"Boston-Cambridge-Newton, MA-NH",Brockton,2301
NM,"Albuquerque, NM",Albuquerque,87114
CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,90026
CA,"San Francisco-Oakland-Berkeley, CA",Union City,94587
FL,"Orlando-Kissimmee-Sanford, FL",Orlando,32828
AZ,"Phoenix-Mesa-Chandler, AZ",Buckeye,85326
CA,"Los Angeles-Long Beach-Anaheim, CA",Anaheim,92801
NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,11372
FL,"Orlando-Kissimmee-Sanford, FL",Clermont,34711
CA,"Sacramento-Roseville-Folsom, CA",Elk Grove,95624
TX,"Dallas-Fort Worth-Arlington, TX",Lewisville,75067
CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,91402
NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,11432
NV,"Las Vegas-Henderson-Paradise, NV",Las Vegas,89115
NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,10027
CT,"Bridgeport-Stamford-Norwalk, CT",Stamford,6902
NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,10472
TX,"Houston-The Woodlands-Sugar Land, TX",Houston,77036
PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia,19111
TX,"Laredo, TX",Laredo,78045
MD,"Baltimore-Columbia-Towson, MD",Parkville,21234
NJ,"New York-Newark-Jersey City, NY-NJ-PA",Union City,7087
CA,"San Jose-Sunnyvale-Santa Clara, CA",San Jose,95123
CA,"San Diego-Chula Vista-Carlsbad, CA",San Diego,92114
NY,"New York-Newark-Jersey City, NY-NJ-PA",South Huntington,11746
CA,"San Francisco-Oakland-Berkeley, CA",Hayward,94541
VA,"Virginia Beach-Norfolk-Newport News, VA-NC",Virginia Beach,23462
TX,"Dallas-Fort Worth-Arlington, TX",Little Elm,75068
DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Washington,20011
FL,"Orlando-Kissimmee-Sanford, FL",Orlando,32822
FL,"Orlando-Kissimmee-Sanford, FL",Oviedo,32765
NV,"Las Vegas-Henderson-Paradise, NV",Las Vegas,89121
NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,11434
GA,"Atlanta-Sandy Springs-Alpharetta, GA",Milton,30004
AZ,"Phoenix-Mesa-Chandler, AZ",Mesa,85204
MI,"Ann Arbor, MI",Ypsilanti,48197
GA,"Atlanta-Sandy Springs-Alpharetta, GA",Johns Creek,30022
FL,"Miami-Fort Lauderdale-Pompano Beach, FL",Miami,33157
CA,"Los Angeles-Long Beach-Anaheim, CA",Lynwood,90262
OH,"Columbus, OH",Westerville,43081
UT,"Salt Lake City, UT",Herriman,84096
TX,"Dallas-Fort Worth-Arlington, TX",Dallas,75243
UT,"Ogden-Clearfield, UT",Clearfield,84015
NV,"Las Vegas-Henderson-Paradise, NV",Las Vegas,89110
CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,90037
TX,"Dallas-Fort Worth-Arlington, TX",Wylie,75098
NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,11211
IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,60628
FL,"Jacksonville, FL",Jacksonville,32210
CA,"Riverside-San Bernardino-Ontario, CA",San Bernardino,92407
NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,10312
GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,30318
KS,"Kansas City, MO-KS",Olathe,66061
CA,"Salinas, CA",Salinas,93906
TX,"Houston-The Woodlands-Sugar Land, TX",Atascocita,77346
OH,"Columbus, OH",Grove City,43123
CA,"San Francisco-Oakland-Berkeley, CA",South San Francisco,94080
NY,"New York-Newark-Jersey City, NY-NJ-PA",Bay Shore,11706
IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,60609
GA,"Atlanta-Sandy Springs-Alpharetta, GA",Lithonia,30058
CA,"Los Angeles-Long Beach-Anaheim, CA",Santa Ana,92703
GA,"Atlanta-Sandy Springs-Alpharetta, GA",Duluth,30096
FL,"Jacksonville, FL",Saint Johns,32259
OH,"Cleveland-Elyria, OH",Medina,44256
CA,"San Jose-Sunnyvale-Santa Clara, CA",Gilroy,95020
MA,"Boston-Cambridge-Newton, MA-NH",Malden,2148
AZ,"Phoenix-Mesa-Chandler, AZ",Glendale,85301
FL,"Miami-Fort Lauderdale-Pompano Beach, FL",Greenacres,33463
NY,"New York-Newark-Jersey City, NY-NJ-PA",Brentwood,11717
KY,"Bowling Green, KY",Bowling Green,42101
FL,"Miami-Fort Lauderdale-Pompano Beach, FL",Homestead,33033
WA,"Portland-Vancouver-Hillsboro, OR-WA",Vancouver,98682
MD,"Hagerstown-Martinsburg, MD-WV",Hagerstown,21740
MD,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Gaithersburg,20878
NM,"Albuquerque, NM",Albuquerque,87120
SC,"Columbia, SC",Lexington,29072
CA,"Riverside-San Bernardino-Ontario, CA",San Bernardino,92404
VA,"Virginia Beach-Norfolk-Newport News, VA-NC",Chesapeake,23322
PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia,19143
CA,"Los Angeles-Long Beach-Anaheim, CA",East Los Angeles,90022
GA,"Atlanta-Sandy Springs-Alpharetta, GA",Douglasville,30135
AZ,"Phoenix-Mesa-Chandler, AZ",Peoria,85383
CA,"Riverside-San Bernardino-Ontario, CA",Ontario,91761
CA,"San Diego-Chula Vista-Carlsbad, CA",Spring Valley,91977
TX,"Dallas-Fort Worth-Arlington, TX",Garland,75043
CA,"Los Angeles-Long Beach-Anaheim, CA",Laguna Niguel,92677
CO,"Denver-Aurora-Lakewood, CO",Denver,80219
AZ,"Phoenix-Mesa-Chandler, AZ",Glendale,85308
FL,"Orlando-Kissimmee-Sanford, FL",Pine Hills,32808
CA,"Los Angeles-Long Beach-Anaheim, CA",Lake Forest,92630
CA,"Sacramento-Roseville-Folsom, CA",Elk Grove,95758
KY,"Richmond-Berea, KY",Richmond,40475
TX,"Houston-The Woodlands-Sugar Land, TX",Baytown,77521
CA,"Riverside-San Bernardino-Ontario, CA",Highland,92346
TN,"Nashville-Davidson--Murfreesboro--Franklin, TN",Columbia,38401
NJ,"New York-Newark-Jersey City, NY-NJ-PA",Toms River,8753
GA,"Atlanta-Sandy Springs-Alpharetta, GA",Woodstock,30188
FL,"Jacksonville, FL",Jacksonville,32244
DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Washington,20019
TN,"Nashville-Davidson--Murfreesboro--Franklin, TN",Mount Juliet,37122
CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,90731
TX,"Dallas-Fort Worth-Arlington, TX",Garland,75040
TX,"Houston-The Woodlands-Sugar Land, TX",Houston,77072
NC,"Greensboro-High Point, NC",Greensboro,27406
CA,"Stockton, CA",Stockton,95206
IL,"Chicago-Naperville-Elgin, IL-IN-WI",Berwyn,60402
CA,"Sacramento-Roseville-Folsom, CA",Carmichael,95608
IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,60651
FL,"Miami-Fort Lauderdale-Pompano Beach, FL",Lauderhill,33313
GA,"Atlanta-Sandy Springs-Alpharetta, GA",Marietta,30062
CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,91343
TX,"San Antonio-New Braunfels, TX",San Antonio,78249
UT,"Ogden-Clearfield, UT",Ogden,84404
CA,"Riverside-San Bernardino-Ontario, CA",Indio,92201
NC,"Charlotte-Concord-Gastonia, NC-SC",Charlotte,28215
CA,"Riverside-San Bernardino-Ontario, CA",Murrieta,92562
GA,"Columbus, GA-AL",Columbus,31907
TX,"Houston-The Woodlands-Sugar Land, TX",Spring,77373
TX,"Houston-The Woodlands-Sugar Land, TX",Spring,77386
NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,10024
FL,"Orlando-Kissimmee-Sanford, FL",Orlando,32818
SC,"Charleston-North Charleston, SC",Goose Creek,29445
CA,"San Francisco-Oakland-Berkeley, CA",Richmond,94806
MI,"Detroit-Warren-Dearborn, MI",Taylor,48180
TX,"Dallas-Fort Worth-Arlington, TX",Mesquite,75150
OH,"Cleveland-Elyria, OH",Elyria,44035
CA,"Riverside-San Bernardino-Ontario, CA",Victorville,92392
TN,"Nashville-Davidson--Murfreesboro--Franklin, TN",Murfreesboro,37128
TX,"McAllen-Edinburg-Mission, TX",La Homa,78574
VA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Fredericksburg,22407
CA,"Los Angeles-Long Beach-Anaheim, CA",Costa Mesa,92627
HI,"Urban Honolulu, HI",Honolulu,96818
CA,"San Francisco-Oakland-Berkeley, CA",Daly City,94015
NV,"Las Vegas-Henderson-Paradise, NV",Las Vegas,89123
CA,"Bakersfield, CA",Bakersfield,93309
FL,"Miami-Fort Lauderdale-Pompano Beach, FL",Miramar,33027
IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,60619
NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,10032
AZ,"Phoenix-Mesa-Chandler, AZ",Phoenix,85041
VA,"Virginia Beach-Norfolk-Newport News, VA-NC",Virginia Beach,23456
TX,"Dallas-Fort Worth-Arlington, TX",The Colony,75056
CA,"Los Angeles-Long Beach-Anaheim, CA",Florence-Graham,90001
OH,"Columbus, OH",Hilliard,43026
CA,"Los Angeles-Long Beach-Anaheim, CA",Montebello,90640
MD,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Germantown,20874
CA,"San Diego-Chula Vista-Carlsbad, CA",El Cajon,92020
CA,"Salinas, CA",Salinas,93905
TX,"Houston-The Woodlands-Sugar Land, TX",Humble,77396
OK,"Tulsa, OK",Broken Arrow,74012
CA,"San Francisco-Oakland-Berkeley, CA",Alameda,94501
CA,"San Jose-Sunnyvale-Santa Clara, CA",San Jose,95127
IL,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,60638
NY,"New York-Newark-Jersey City, NY-NJ-PA",Hempstead,11550
AZ,"Phoenix-Mesa-Chandler, AZ",Peoria,85345
FL,"Orlando-Kissimmee-Sanford, FL",Kissimmee,34744
TX,"Austin-Round Rock-Georgetown, TX",Kyle,78640
CA,"Los Angeles-Long Beach-Anaheim, CA",Pico Rivera,90660
MD,"Baltimore-Columbia-Towson, MD",Owings Mills,21117
CA,"San Jose-Sunnyvale-Santa Clara, CA",Cupertino,95014
TX,"Houston-The Woodlands-Sugar Land, TX",Tomball,77375
NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,11216
NV,"Las Vegas-Henderson-Paradise, NV",Las Vegas,89148
CA,"San Diego-Chula Vista-Carlsbad, CA",San Diego,92115
OH,"Columbus, OH",Lancaster,43130
CA,"Sacramento-Roseville-Folsom, CA",,95828
FL,"Miami-Fort Lauderdale-Pompano Beach, FL",Doral,33178
TN,"Nashville-Davidson--Murfreesboro--Franklin, TN",Murfreesboro,37129
SC,"Greenville-Anderson, SC",Simpsonville,29681
NJ,"New York-Newark-Jersey City, NY-NJ-PA",Piscataway,8854
NY,"New York-Newark-Jersey City, NY-NJ-PA",Yonkers,10701
PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia,19149
NY,"New York-Newark-Jersey City, NY-NJ-PA",New York,10023
TN,"Nashville-Davidson--Murfreesboro--Franklin, TN",Franklin,37064
CA,"Bakersfield, CA",Bakersfield,93313
NJ,"New York-Newark-Jersey City, NY-NJ-PA",West New York,7093
CA,"Riverside-San Bernardino-Ontario, CA",Perris,92571
GA,"Atlanta-Sandy Springs-Alpharetta, GA",Atlanta,30331
MA,"Boston-Cambridge-Newton, MA-NH",Medford,2155
TX,"Austin-Round Rock-Georgetown, TX",Austin,78745
OH,"Cleveland-Elyria, OH",Mentor,44060
NY,"Poughkeepsie-Newburgh-Middletown, NY",Monroe,10950
GA,"Atlanta-Sandy Springs-Alpharetta, GA",Kennesaw,30144
CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,90019
NC,"Durham-Chapel Hill, NC",Durham,27703
TX,"Houston-The Woodlands-Sugar Land, TX",Houston,77077
